Move,TimeUsed,TotalTime,Eval
0,0.38,"(0.0, 0)",['e2e4']
1,0.55,"(0.0, 0.1)",['e7e5']
2,0.55,"(0.0, 0.1)",[]
3,0.37,"(2.7, 0.1)",['g1f3']
4,0.37,"(2.7, 0.1)",[]
5,0.37,"(2.7, 0.1)",[]
6,0.37,"(2.7, 0.1)",[]
7,0.62,"(2.7, 3.7)",['b8c6']
8,0.62,"(2.7, 3.7)",[]
9,0.62,"(2.7, 3.7)",[]
10,0.62,"(2.7, 3.7)",[]
11,0.62,"(2.7, 3.7)",[]
12,0.62,"(2.7, 3.7)",[]
13,0.62,"(2.7, 3.7)",[]
14,0.62,"(2.7, 3.7)",[]
15,0.62,"(2.7, 3.7)",[]
16,0.62,"(2.7, 3.7)",[]
17,0.25,"(12.9, 3.7)",['f1c4']
18,0.25,"(12.9, 3.7)",[]
19,0.25,"(12.9, 3.7)",[]
20,0.25,"(12.9, 3.7)",[]
21,0.25,"(12.9, 3.7)",[]
22,0.25,"(12.9, 3.7)",[]
23,0.25,"(12.9, 3.7)",[]
24,0.25,"(12.9, 3.7)",[]
25,0.27,"(12.9, 11.4)",['g8f6']
26,0.27,"(12.9, 11.4)",[]
27,0.05,"(15.5, 11.4)",['d2d3']
28,0.05,"(15.5, 11.4)",[]
29,0.05,"(15.5, 11.4)",[]
30,0.05,"(15.5, 11.4)",[]
31,0.05,"(15.5, 11.4)",[]
32,0.05,"(15.5, 11.4)",[]
33,0.05,"(15.5, 11.4)",[]
34,0.05,"(15.5, 11.4)",[]
35,0.05,"(15.5, 11.4)",[]
36,0.58,"(15.5, 19.9)",['d7d5']
37,0.58,"(15.5, 19.9)",[]
38,0.58,"(15.5, 19.9)",[]
39,0.58,"(15.5, 19.9)",[]
40,0.58,"(15.5, 19.9)",[]
41,0.58,"(20.9, 19.9)",['e4d5']
42,0.58,"(20.9, 19.9)",[]
43,0.58,"(20.9, 19.9)",[]
44,0.72,"(20.9, 23.0)",['f6d5']
45,0.72,"(20.9, 23.0)",[]
46,-1.19,"(22.7, 23.0)",['c4d5']
47,-1.19,"(22.7, 23.0)",[]
48,-1.19,"(22.7, 23.0)",[]
49,-1.05,"(22.7, 25.7)",['d8d5']
50,-1.05,"(22.7, 25.7)",[]
51,-1.06,"(24.7, 25.7)",['e1g1']
52,-1.06,"(24.7, 25.7)",[]
53,-1.06,"(24.7, 25.7)",[]
54,-1.06,"(24.7, 25.7)",[]
55,-1.06,"(24.7, 25.7)",[]
56,-1.06,"(24.7, 25.7)",[]
57,-1.06,"(24.7, 25.7)",[]
58,-1.06,"(24.7, 25.7)",[]
59,-1.06,"(24.7, 25.7)",[]
60,-1.06,"(24.7, 25.7)",[]
61,-1.06,"(24.7, 25.7)",[]
