Move,TimeUsed,TotalTime,Eval
0,0.38,"(0.0, 0)",['e2e4']
1,0.38,"(0.0, 0.1)",['c7c5']
2,0.38,"(0.0, 0.1)",[]
3,0.21,"(2.7, 0.1)",['g1f3']
4,0.21,"(2.7, 0.1)",[]
5,0.21,"(2.7, 0.1)",[]
6,0.21,"(2.7, 0.1)",[]
7,0.4,"(2.7, 3.7)",['b8c6']
8,-0.13,"(4.1, 3.7)",['d2d4']
9,-0.13,"(4.1, 3.7)",[]
10,-0.13,"(4.1, 3.7)",[]
11,-0.13,"(4.1, 3.7)",[]
12,-0.13,"(4.1, 3.7)",[]
13,-0.13,"(4.1, 3.7)",[]
14,-0.13,"(4.1, 3.7)",[]
15,-0.13,"(4.1, 3.7)",[]
16,-0.13,"(4.1, 3.7)",[]
17,-0.13,"(4.1, 3.7)",[]
18,-0.13,"(4.1, 3.7)",[]
19,-0.13,"(4.1, 3.7)",[]
20,-0.13,"(4.1, 3.7)",[]
21,-0.13,"(4.1, 3.7)",[]
22,-0.13,"(4.1, 3.7)",[]
23,-0.13,"(4.1, 3.7)",[]
24,-0.13,"(4.1, 3.7)",[]
25,-0.13,"(4.1, 3.7)",[]
26,-0.13,"(4.1, 3.7)",[]
27,-0.13,"(4.1, 3.7)",[]
28,0.25,"(4.1, 23.6)",['c5d4']
29,0.25,"(4.1, 23.6)",[]
30,0.25,"(4.1, 23.6)",[]
31,0.37,"(6.8, 23.6)",['f3d4']
32,0.92,"(6.8, 24.4)",['c6d4']
33,0.92,"(6.8, 24.4)",[]
34,1.0,"(9.1, 24.4)",['d1d4']
35,1.0,"(9.1, 24.4)",[]
36,1.0,"(9.1, 24.4)",[]
37,1.0,"(9.1, 24.4)",[]
38,1.0,"(9.1, 24.4)",[]
39,1.0,"(9.1, 24.4)",[]
40,1.0,"(9.1, 24.4)",[]
41,1.0,"(9.1, 24.4)",[]
42,1.0,"(9.1, 24.4)",[]
43,1.0,"(9.1, 24.4)",[]
44,1.0,"(9.1, 24.4)",[]
45,1.0,"(9.1, 24.4)",[]
46,1.0,"(9.1, 24.4)",[]
47,1.0,"(9.1, 24.4)",[]
48,1.0,"(9.1, 24.4)",[]
49,1.0,"(9.1, 24.4)",[]
50,1.26,"(9.1, 40.1)",['d7d6']
51,1.26,"(9.1, 40.1)",[]
52,1.26,"(9.1, 40.1)",[]
53,1.26,"(9.1, 40.1)",[]
54,1.26,"(9.1, 40.1)",[]
